
Token list: 

     #                          Unit  Line                         Token

     1                        SYSTEM     1                 unknown token
     2                        SYSTEM     1                          UNIT
     3                        SYSTEM     1                    identifier = SYSTEM
     4                        SYSTEM     1                             ;
     5                        SYSTEM    49                     INTERFACE
     6                        SYSTEM    51                          TYPE
     7                        SYSTEM    52                    identifier = TSTRING
     8                        SYSTEM    52                             =
     9                        SYSTEM    52                        STRING
    10                        SYSTEM    52                             [
    11                        SYSTEM    52                        number = 32
    12                        SYSTEM    52                             ]
    13                        SYSTEM    52                             ;
    14                        SYSTEM    54                    identifier = TRECT
    15                        SYSTEM    54                             =
    16                        SYSTEM    54                        RECORD
    17                        SYSTEM    54                    identifier = LEFT
    18                        SYSTEM    54                             ,
    19                        SYSTEM    54                    identifier = TOP
    20                        SYSTEM    54                             ,
    21                        SYSTEM    54                    identifier = RIGHT
    22                        SYSTEM    54                             ,
    23                        SYSTEM    54                    identifier = BOTTOM
    24                        SYSTEM    54                             :
    25                        SYSTEM    54                      SMALLINT
    26                        SYSTEM    54                           END
    27                        SYSTEM    54                             ;
    28                        SYSTEM    55                    identifier = TPOINT
    29                        SYSTEM    55                             =
    30                        SYSTEM    55                        RECORD
    31                        SYSTEM    55                    identifier = X
    32                        SYSTEM    55                             ,
    33                        SYSTEM    55                    identifier = Y
    34                        SYSTEM    55                             :
    35                        SYSTEM    55                      SMALLINT
    36                        SYSTEM    55                           END
    37                        SYSTEM    55                             ;
    38                        SYSTEM    57                           VAR
    39                        SYSTEM    57                    identifier = IORESULT
    40                        SYSTEM    57                             :
    41                        SYSTEM    57                          BYTE
    42                        SYSTEM    57                             ;
    43                        SYSTEM    58                    identifier = SCREENWIDTH
    44                        SYSTEM    58                             :
    45                        SYSTEM    58                          WORD
    46                        SYSTEM    58                             =
    47                        SYSTEM    58                        number = 40
    48                        SYSTEM    58                             ;
    49                        SYSTEM    59                    identifier = SCREENHEIGHT
    50                        SYSTEM    59                             :
    51                        SYSTEM    59                          WORD
    52                        SYSTEM    59                             =
    53                        SYSTEM    59                        number = 24
    54                        SYSTEM    59                             ;
    55                        SYSTEM    61                         CONST
    56                        SYSTEM    62                    identifier = M_PI_2
    57                        SYSTEM    62                             =
    58                        SYSTEM    62                        number =   6.2833
    59                        SYSTEM    62                             ;
    60                        SYSTEM    63                    identifier = D_PI_2
    61                        SYSTEM    63                             =
    62                        SYSTEM    63                        number =   1.5708
    63                        SYSTEM    63                             ;
    64                        SYSTEM    64                    identifier = D_PI_180
    65                        SYSTEM    64                             =
    66                        SYSTEM    64                        number =   0.0175
    67                        SYSTEM    64                             ;
    68                        SYSTEM    66                    identifier = GTIA
    69                        SYSTEM    66                             =
    70                        SYSTEM    66                        number = 0
    71                        SYSTEM    66                             ;
    72                        SYSTEM    67                    identifier = VBXE
    73                        SYSTEM    67                             =
    74                        SYSTEM    67                        number = 128
    75                        SYSTEM    67                             ;
    76                        SYSTEM    68                    identifier = WINDOW
    77                        SYSTEM    68                             =
    78                        SYSTEM    68                        number = 16
    79                        SYSTEM    68                             ;
    80                        SYSTEM    69                    identifier = NARROW
    81                        SYSTEM    69                             =
    82                        SYSTEM    69                        number = 32
    83                        SYSTEM    69                             ;
    84                        SYSTEM    71                    identifier = VBXE_XDLADR
    85                        SYSTEM    71                             =
    86                        SYSTEM    71                        number = 0
    87                        SYSTEM    71                             ;
    88                        SYSTEM    72                    identifier = VBXE_MAPADR
    89                        SYSTEM    72                             =
    90                        SYSTEM    72                        number = 4096
    91                        SYSTEM    72                             ;
    92                        SYSTEM    73                    identifier = VBXE_BCBADR
    93                        SYSTEM    73                             =
    94                        SYSTEM    73                        number = 256
    95                        SYSTEM    73                             ;
